"","taxon","Mean Rank Control","Mean Rank CD","Mean Difference","LB (2.5%)","UB (9.75%)","Pvalue","Padj"
"2","Enterobacteriales Enterobacteriaceae Unknown Unknown",2718.09574468085,3466.49107142857,748.39532674772,348.263531912651,1148.52712158279,0.000343088215155227,0.0368701063101232
"1","Pasteurellales Pasteurellaceae Haemophilus parainfluenzae",2487.46808510638,3224.47321428571,737.005129179331,344.164894457481,1129.84536390118,0.000326097273887597,0.0368701063101232
"5","Enterobacteriales Enterobacteriaceae Unknown Unknown",2019.68085106383,2555.89285714286,536.212006079028,251.040299603426,821.383712554629,0.000340781308041747,0.0368701063101232
"3","Enterobacteriales Enterobacteriaceae Unknown Unknown",1985.48936170213,2502.5,517.010638297872,251.374301976954,782.646974618791,0.000216047223144968,0.033172914180569
"4","Enterobacteriales Enterobacteriaceae Unknown Unknown",1892.15957446809,2261.02678571429,368.867211246201,166.686436840734,571.047985651667,0.000561011591624167,0.0477736996555811
"29","Clostridiales Veillonellaceae Megasphaera Unknown",1892.15957446809,2249,356.840425531915,161.6243187677,552.05653229613,0.000547927300032295,0.0477736996555811
"43","Clostridiales Lachnospiraceae Unknown Unknown",2430.47872340426,1959.22321428571,-471.255509118541,-715.190884249527,-227.320133987555,0.000318212220475161,0.0368701063101232
"31","Clostridiales Lachnospiraceae Unknown Unknown",2448.22340425532,1959.22321428571,-489.000189969605,-744.471599920476,-233.528780018734,0.000355939335699252,0.0368701063101232
"45","Clostridiales Lachnospiraceae Unknown Unknown",4095.26595744681,3581.58035714286,-513.685600303951,-798.363966746232,-229.00723386167,0.00056244054221311,0.0477736996555811
"21","Clostridiales Unknown Unknown Unknown",2599.35106382979,2033.24107142857,-566.109992401216,-862.352638776673,-269.867346025758,0.000322074406470385,0.0368701063101232
"10","Clostridiales Christensenellaceae Unknown Unknown",2629.01063829787,2039.66071428571,-589.349924012158,-902.816657062406,-275.88319096191,0.000389952577044059,0.0394316332072933
"48","Clostridiales Lachnospiraceae Unknown Unknown",2735.73404255319,2135.875,-599.859042553192,-927.077405336675,-272.640679769708,0.000495657918972176,0.0447884932313728
"42","Clostridiales Lachnospiraceae Unknown Unknown",2690.27659574468,2071.77678571429,-618.499810030395,-928.310575312207,-308.689044748584,0.000176265266484658,0.0304958607624947
"50","Clostridiales Lachnospiraceae Unknown Unknown",2752.79787234043,2106.84821428571,-645.949658054711,-970.846256482154,-321.053059627268,0.000179514132107924,0.0304958607624947
"25","Clostridiales Ruminococcaceae Unknown Unknown",3745.1914893617,3095.03571428571,-650.155775075988,-1005.92606782528,-294.3854823267,0.000456852174607289,0.0440966178535763
"30","Clostridiales Lachnospiraceae [Ruminococcus] Unknown",3829.65957446808,3177.35714285714,-652.302431610942,-1007.28775245781,-297.317110764075,0.000428870420354906,0.0423584343080636
"24","Clostridiales Ruminococcaceae Oscillospira Unknown",2849.84042553192,2185.49107142857,-664.349354103344,-1017.39279471683,-311.30591348986,0.000349023427234464,0.0368701063101232
