Methodology,Mean Sensitivity (+/- SE),Mean FDR (+/- SE),Sample Size Per Condition,Fold-Change,Distribution
ALDEx2 T-test,0.042 +/- (0.034),0,50,3,Negative Binomial
ALDEx2 T-test,0.152 +/- (0.059),0,50,5,Negative Binomial
ALDEx2 T-test,0.136 +/- (0.049),0.004 +/- (0.022),100,3,Negative Binomial
ALDEx2 T-test,0.239 +/- (0.043),0.026 +/- (0.08),100,5,Negative Binomial
ALDEx2 T-test,0.209 +/- (0.03),0.003 +/- (0.012),150,3,Negative Binomial
ALDEx2 T-test,0.246 +/- (0.046),0.081 +/- (0.118),150,5,Negative Binomial
ALDEx2 T-test,0.001 +/- (0.003),0,50,3,Beta-Binomial
ALDEx2 T-test,0.016 +/- (0.013),0,50,5,Beta-Binomial
ALDEx2 T-test,0.016 +/- (0.013),0,100,3,Beta-Binomial
ALDEx2 T-test,0.049 +/- (0.023),0.005 +/- (0.025),100,5,Beta-Binomial
ALDEx2 T-test,0.02 +/- (0.013),0,150,3,Beta-Binomial
ALDEx2 T-test,0.092 +/- (0.024),0.021 +/- (0.051),150,5,Beta-Binomial
ALDEx2 T-test,0,0,5,3,Beta-Binomial
ALDEx2 T-test,0,0,5,5,Beta-Binomial
ALDEx2 T-test,0,0,15,3,Beta-Binomial
ALDEx2 T-test,0 +/- (0.002),0,15,5,Beta-Binomial
ALDEx2 T-test,0,0,25,3,Beta-Binomial
ALDEx2 T-test,0.002 +/- (0.005),0,25,5,Beta-Binomial
ALDEx2 T-test,0,0,5,3,Negative Binomial
ALDEx2 T-test,0,0,5,5,Negative Binomial
ALDEx2 T-test,0.002 +/- (0.007),0,15,3,Negative Binomial
ALDEx2 T-test,0.01 +/- (0.012),0,15,5,Negative Binomial
ALDEx2 T-test,0.004 +/- (0.009),0,25,3,Negative Binomial
ALDEx2 T-test,0.042 +/- (0.029),0,25,5,Negative Binomial
ALDEx2 T-test,0,0,5,1.5,Negative Binomial
ALDEx2 T-test,0,0,15,1.5,Negative Binomial
ALDEx2 T-test,0,0,25,1.5,Negative Binomial
ALDEx2 T-test,0,0,50,1.5,Negative Binomial
ALDEx2 T-test,0 +/- (0.002),0,100,1.5,Negative Binomial
ALDEx2 T-test,0.001 +/- (0.003),0,150,1.5,Negative Binomial
